Country Name,Country Code,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Azerbaijan,AZE,,,,,0,,,,0.001431415298,0.002055555763,0.006354584547,0.02518793347,0.03748510904,0.09922894151,0.1477575756,0.3055646376,4.999713678,4.999713678,4.999713678,8.030375356,11.99217733,14.54,17.08,27.4,46,50,54.2,58.7,61
Burundi,BDI,0,0,0,0,0,0,0,0,0,0,0.0008035921211,0.007979438583,0.01584277629,0.03920446918,0.07724844738,0.1060012454,0.1182284123,0.2012731967,0.3490604619,0.5421428658,0.6575925904,0.7,0.81,0.9,1,1.11,1.219999945,1.3,1.38
Belgium,BEL,,,,,0.001006739618,0.02007264491,0.1000410268,0.1994460585,0.6959946898,0.9916629901,2.968411647,4.93808091,7.886622701,13.77221446,29.43169169,31.28839551,46.33,49.97,53.86,55.82,59.72,64.44,66,70,75,81.609996,80.71999055,82.1702,85
Benin,BEN,,,,,0,,,,,,0.001693100193,0.02464879574,0.04787730388,0.1549067407,0.2252478515,0.36341789,0.7029455951,0.9513271149,1.182540965,1.271031439,1.537854346,1.79,1.85,2.24,3.13,4.148323066,4.5,4.9,5.3
Burkina Faso,BFA,,,,,0,,,,,,0.0009605185571,0.01868635311,0.04542348405,0.06178029269,0.07708016894,0.1577324647,0.2009925979,0.3734403032,0.4002952855,0.4699144887,0.6327075645,0.75,0.92,1.13,2.4,3,3.725034916,9.1,9.4
Bangladesh,BGD,,,,,0,,,,,,,0.0007510458294,0.003684812625,0.03617040747,0.07103942305,0.1298079739,0.1399202885,0.1638776655,0.1990363337,0.2416373256,1,1.8,2.5,3.1,3.7,4.5,5,6.63,9.6
Bulgaria,BGR,,,,,0,,,0.002339042312,0.01952666881,0.1196655491,0.7252511666,1.219813132,1.844965121,2.908154025,5.370923469,7.612297749,9.08,12.04,18.13,19.97,27.09,33.64,39.67,45,46.23,47.97999305,51.89998767,53.0615,55.49
Bahrain,BHR,,,,,0,,,,,0.3462058436,0.8432542192,1.646299202,3.218202151,4.720358118,6.153732546,15.03863425,18.05072089,21.55494499,21.45868051,21.30373351,28.24395243,32.91,51.95,53,55,76.9999665,88,90.0000397,90.99998
Bahamas The,BHS,,,,,0,,,,,0.960030721,1.746950698,1.362953903,2.33559071,3.764557822,8,11.8,18,20,22,25,26,27,31.54,33.88,43,65,71.74820281,72,76.92
Bosnia and Herzegovina,BIH,,,,,0,,,,,,0.01512556335,0.0594255628,0.1436710599,0.1943741998,1.08296075,1.200526951,2.648267914,3.965036834,15.46897162,21.326701,25.12238569,27.92,34.66,37.74,42.75,47.77,52.78,57.79,60.8
